ingredient,store,price_usd,unit
chickpeas,Walmart,1.19,can
chickpeas,Target,1.39,can
cucumber,Walmart,0.89,each
tomato,Walmart,0.79,each
lemon,Walmart,0.69,each
olive oil,Walmart,6.49,16oz
paneer,Indian Bazaar,4.99,200g
yogurt,Walmart,2.89,32oz
spices,Indian Bazaar,2.5,pack
bell pepper,Walmart,0.99,each
onion,Walmart,0.75,each
rice,Walmart,3.99,2lb
egg,Walmart,2.49,dozen
soy sauce,Walmart,2.29,12oz
spring onion,Walmart,0.99,bunch
garlic,Walmart,0.59,head
avocado,Trader Joes,0.99,each
bread,Walmart,2.29,loaf
lentils,Walmart,1.79,1lb
cumin,Walmart,2.09,jar
carrot,Walmart,0.89,1lb
pasta,Walmart,1.49,box
chicken,Walmart,5.99,1lb
ginger,Walmart,1.29,root
broccoli,Walmart,1.79,head
tofu,Walmart,1.89,14oz
spinach,Walmart,2.49,bag
honey,Walmart,3.99,12oz
berries,Walmart,3.49,pack
nuts,Walmart,4.99,bag
cheese,Walmart,2.99,8oz
